"","spp","samples","var","scale","AICc","delta"
"pgra090","myse","10","pgra","090",142.752927727311,0
"pgra060","myse","10","pgra","060",142.850769393778,0.0978
"pgra120","myse","10","pgra","120",143.296720051864,0.5438
"pgra150","myse","10","pgra","150",143.595026618565,0.8421
"pgra180","myse","10","pgra","180",144.005981472202,1.2531
"pgra210","myse","10","pgra","210",144.758452826443,2.0055
"pgra240","myse","10","pgra","240",145.11097322819,2.358
"pgra270","myse","10","pgra","270",145.531032608108,2.7781
"pgra300","myse","10","pgra","300",146.11474492999,3.3618
"pgra330","myse","10","pgra","330",146.654986338339,3.9021
"pgra360","myse","10","pgra","360",146.84552697097,4.0926
