"","spp","samples","var","scale","AICc","delta","df"
"pwet060","epfu","60","pwet","060",270.406877457667,0,3
"pwet090","epfu","60","pwet","090",270.515288907441,0.1084,3
"pwet120","epfu","60","pwet","120",270.828625569813,0.4217,3
"pwet300","epfu","60","pwet","300",271.128068790706,0.7212,3
"pwet270","epfu","60","pwet","270",271.133682890835,0.7268,3
"pwet330","epfu","60","pwet","330",271.171076293672,0.7642,3
"pwet240","epfu","60","pwet","240",271.17273841577,0.7659,3
"pwet360","epfu","60","pwet","360",271.208673825663,0.8018,3
"pwet210","epfu","60","pwet","210",271.238731043776,0.8319,3
"pwet150","epfu","60","pwet","150",271.312754507043,0.9059,3
"pwet180","epfu","60","pwet","180",271.329350741628,0.9225,3
