"","spp","samples","var","scale","AICc","delta"
"pdev270","myse","20","pdev","270",174.799903303956,0
"pdev300","myse","20","pdev","300",174.800276610109,4e-04
"pdev150","myse","20","pdev","150",174.814483913248,0.0146
"pdev330","myse","20","pdev","330",174.818410181848,0.0185
"pdev120","myse","20","pdev","120",174.826381180411,0.0265
"pdev360","myse","20","pdev","360",174.845415963046,0.0455
"pdev240","myse","20","pdev","240",174.851692985481,0.0518
"pdev060","myse","20","pdev","060",174.874298421237,0.0744
"pdev180","myse","20","pdev","180",174.87926720845,0.0794
"pdev090","myse","20","pdev","090",174.881559128396,0.0817
"pdev210","myse","20","pdev","210",174.90573421107,0.1058
