"","spp","samples","var","scale","AICc","delta","df"
"road270","myse","1","road","270",62.0295102912843,0,3
"road300","myse","1","road","300",62.2028230158222,0.1733,3
"road210","myse","1","road","210",62.8173601904197,0.7878,3
"road360","myse","1","road","360",62.8982819750025,0.8688,3
"road240","myse","1","road","240",63.0990976054216,1.0696,3
"road330","myse","1","road","330",63.3638553893033,1.3343,3
"road150","myse","1","road","150",63.859757509675,1.8302,3
"road120","myse","1","road","120",64.1732459393486,2.1437,3
"road180","myse","1","road","180",64.2962525159678,2.2667,3
"road060","myse","1","road","060",64.4622273650058,2.4327,3
"road090","myse","1","road","090",64.8539826185731,2.8245,3
