"","spp","samples","var","scale","AICc","delta","df"
"pwet360","myse","80","pwet","360",232.06247693392,0,3
"pwet330","myse","80","pwet","330",232.078081821563,0.0156,3
"pwet300","myse","80","pwet","300",232.114452649079,0.052,3
"pwet270","myse","80","pwet","270",232.203529534371,0.1411,3
"pwet150","myse","80","pwet","150",232.258511961403,0.196,3
"pwet120","myse","80","pwet","120",232.271874185619,0.2094,3
"pwet180","myse","80","pwet","180",232.279325961088,0.2168,3
"pwet090","myse","80","pwet","090",232.287968916045,0.2255,3
"pwet060","myse","80","pwet","060",232.292500933575,0.23,3
"pwet240","myse","80","pwet","240",232.300334125589,0.2379,3
"pwet210","myse","80","pwet","210",232.318696650906,0.2562,3
