"","spp","samples","var","scale","AICc","delta"
"road180","epfu","30","road","180",233.809034426308,0
"road360","epfu","30","road","360",234.663560655662,0.8545
"road330","epfu","30","road","330",234.953414912879,1.1444
"road210","epfu","30","road","210",235.31779131637,1.5088
"road120","epfu","30","road","120",235.371888376125,1.5629
"road150","epfu","30","road","150",235.375707236305,1.5667
"road300","epfu","30","road","300",235.54672587191,1.7377
"road060","epfu","30","road","060",235.655675925938,1.8466
"road090","epfu","30","road","090",235.705822922759,1.8968
"road270","epfu","30","road","270",235.726887814451,1.9179
"road240","epfu","30","road","240",235.733059710001,1.924
