"","spp","samples","var","scale","AICc","delta","df"
"pgra090","myse","70","pgra","090",221.352448524259,0,3
"pgra060","myse","70","pgra","060",221.468082970449,0.1156,3
"pgra120","myse","70","pgra","120",222.270494670456,0.918,3
"pgra150","myse","70","pgra","150",222.570392916158,1.2179,3
"pgra180","myse","70","pgra","180",223.065787435143,1.7133,3
"pgra210","myse","70","pgra","210",223.995146910082,2.6427,3
"pgra240","myse","70","pgra","240",224.435847740914,3.0834,3
"pgra270","myse","70","pgra","270",224.906043463705,3.5536,3
"pgra300","myse","70","pgra","300",225.609033084462,4.2566,3
"pgra330","myse","70","pgra","330",226.346969760203,4.9945,3
"pgra360","myse","70","pgra","360",226.69651525297,5.3441,3
