"","spp","samples","var","scale","AICc","delta","df"
"pgra360","epfu","1","pgra","360",77.3200619478159,0,3
"pgra330","epfu","1","pgra","330",77.4001209712656,0.0801,3
"pgra300","epfu","1","pgra","300",77.6375450743559,0.3175,3
"pgra060","epfu","1","pgra","060",77.7562073169998,0.4361,3
"pgra270","epfu","1","pgra","270",78.027349556949,0.7073,3
"pgra150","epfu","1","pgra","150",78.0395271840499,0.7195,3
"pgra180","epfu","1","pgra","180",78.0853979181414,0.7653,3
"pgra210","epfu","1","pgra","210",78.1080035172153,0.7879,3
"pgra240","epfu","1","pgra","240",78.1244651597575,0.8044,3
"pgra120","epfu","1","pgra","120",78.1611329761068,0.8411,3
"pgra090","epfu","1","pgra","090",78.1952109219173,0.8751,3
