"","spp","samples","var","scale","AICc","delta","df"
"road090","myse","10","road","090",144.257166649736,0,3
"road270","myse","10","road","270",145.396143420541,1.139,3
"road210","myse","10","road","210",145.913475336528,1.6563,3
"road300","myse","10","road","300",146.000780114366,1.7436,3
"road150","myse","10","road","150",146.23961908941,1.9825,3
"road240","myse","10","road","240",146.302386992622,2.0452,3
"road360","myse","10","road","360",146.332964489529,2.0758,3
"road180","myse","10","road","180",146.475466760144,2.2183,3
"road330","myse","10","road","330",146.500385062936,2.2432,3
"road120","myse","10","road","120",146.651276747038,2.3941,3
"road060","myse","10","road","060",146.833512187992,2.5763,3
