"","spp","samples","var","scale","AICc","delta","df"
"pgra210","epfu","30","pgra","210",233.699473449599,0,3
"pgra300","epfu","30","pgra","300",233.701733521183,0.0023,3
"pgra330","epfu","30","pgra","330",233.739202020782,0.0397,3
"pgra240","epfu","30","pgra","240",233.754262129899,0.0548,3
"pgra180","epfu","30","pgra","180",233.884990595721,0.1855,3
"pgra270","epfu","30","pgra","270",233.933551083813,0.2341,3
"pgra360","epfu","30","pgra","360",234.031369113041,0.3319,3
"pgra150","epfu","30","pgra","150",234.248795561861,0.5493,3
"pgra060","epfu","30","pgra","060",234.76294117463,1.0635,3
"pgra120","epfu","30","pgra","120",234.927837886982,1.2284,3
"pgra090","epfu","30","pgra","090",235.093352312073,1.3939,3
