"","spp","samples","var","scale","AICc","delta","df"
"bldg060","myse","70","bldg","060",221.579392912808,0,3
"bldg090","myse","70","bldg","090",225.198774767792,3.6194,3
"bldg330","myse","70","bldg","330",225.769829778449,4.1904,3
"bldg360","myse","70","bldg","360",225.841155025422,4.2618,3
"bldg120","myse","70","bldg","120",225.843182347128,4.2638,3
"bldg300","myse","70","bldg","300",226.04055448295,4.4612,3
"bldg150","myse","70","bldg","150",226.152759592223,4.5734,3
"bldg270","myse","70","bldg","270",226.431188871478,4.8518,3
"bldg240","myse","70","bldg","240",226.647091993175,5.0677,3
"bldg180","myse","70","bldg","180",226.650184530396,5.0708,3
"bldg210","myse","70","bldg","210",226.750386873859,5.171,3
