"","spp","samples","var","scale","AICc","delta","df"
"road180","epfu","20","road","180",213.358474884345,0,3
"road360","epfu","20","road","360",213.931563227879,0.5731,3
"road330","epfu","20","road","330",214.230005467917,0.8715,3
"road150","epfu","20","road","150",214.676442000596,1.318,3
"road210","epfu","20","road","210",214.702676549511,1.3442,3
"road120","epfu","20","road","120",214.703668021103,1.3452,3
"road300","epfu","20","road","300",214.885984306072,1.5275,3
"road060","epfu","20","road","060",214.975885595023,1.6174,3
"road090","epfu","20","road","090",215.021998971695,1.6635,3
"road270","epfu","20","road","270",215.064390563506,1.7059,3
"road240","epfu","20","road","240",215.086303563483,1.7278,3
