"","spp","samples","var","scale","AICc","delta","df"
"pdev360","epfu","10","pdev","360",177.81264985317,0,3
"pdev330","epfu","10","pdev","330",178.07560576713,0.263,3
"pdev300","epfu","10","pdev","300",178.3979114239,0.5853,3
"pdev270","epfu","10","pdev","270",178.796601063457,0.984,3
"pdev240","epfu","10","pdev","240",179.140212324934,1.3276,3
"pdev210","epfu","10","pdev","210",179.615426259773,1.8028,3
"pdev180","epfu","10","pdev","180",179.886760004753,2.0741,3
"pdev150","epfu","10","pdev","150",180.10940034368,2.2968,3
"pdev120","epfu","10","pdev","120",180.303946836611,2.4913,3
"pdev060","epfu","10","pdev","060",180.329828553728,2.5172,3
"pdev090","epfu","10","pdev","090",180.336948671634,2.5243,3
