"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","50","pfor","360",259.162680841212,0,3
"pfor330","epfu","50","pfor","330",259.381470567696,0.2188,3
"pfor300","epfu","50","pfor","300",259.689091405468,0.5264,3
"pfor270","epfu","50","pfor","270",259.991777007796,0.8291,3
"pfor240","epfu","50","pfor","240",260.23425421256,1.0716,3
"pfor210","epfu","50","pfor","210",260.679264400488,1.5166,3
"pfor180","epfu","50","pfor","180",260.995012902142,1.8323,3
"pfor150","epfu","50","pfor","150",261.387063443513,2.2244,3
"pfor120","epfu","50","pfor","120",261.825063209853,2.6624,3
"pfor090","epfu","50","pfor","090",261.951040145219,2.7884,3
"pfor060","epfu","50","pfor","060",261.956199697723,2.7935,3
