"","spp","samples","var","scale","AICc","delta","df"
"pfor150","myse","90","pfor","150",237.049436238754,0,3
"pfor120","myse","90","pfor","120",237.084132992607,0.0347,3
"pfor180","myse","90","pfor","180",237.170238345304,0.1208,3
"pfor060","myse","90","pfor","060",237.180887056289,0.1315,3
"pfor270","myse","90","pfor","270",237.188514982624,0.1391,3
"pfor090","myse","90","pfor","090",237.194934810764,0.1455,3
"pfor360","myse","90","pfor","360",237.207215673954,0.1578,3
"pfor240","myse","90","pfor","240",237.214329873675,0.1649,3
"pfor300","myse","90","pfor","300",237.220234407206,0.1708,3
"pfor210","myse","90","pfor","210",237.235519819239,0.1861,3
"pfor330","myse","90","pfor","330",237.236975491009,0.1875,3
