"","spp","samples","var","scale","AICc","delta","df"
"road180","epfu","80","road","180",284.212793005005,0,3
"road360","epfu","80","road","360",285.227897430467,1.0151,3
"road330","epfu","80","road","330",285.40681679489,1.194,3
"road120","epfu","80","road","120",285.626177555855,1.4134,3
"road210","epfu","80","road","210",285.673480606463,1.4607,3
"road150","epfu","80","road","150",285.720942873695,1.5081,3
"road300","epfu","80","road","300",286.007805944539,1.795,3
"road060","epfu","80","road","060",286.031412776951,1.8186,3
"road090","epfu","80","road","090",286.102303650997,1.8895,3
"road270","epfu","80","road","270",286.178733661037,1.9659,3
"road240","epfu","80","road","240",286.189176485728,1.9764,3
