"","spp","samples","var","scale","AICc","delta","df"
"bldg060","myse","90","bldg","060",232.172806420201,0,3
"bldg090","myse","90","bldg","090",235.801140722181,3.6283,3
"bldg330","myse","90","bldg","330",236.236618749011,4.0638,3
"bldg360","myse","90","bldg","360",236.315278813513,4.1425,3
"bldg120","myse","90","bldg","120",236.399741106134,4.2269,3
"bldg300","myse","90","bldg","300",236.517038532045,4.3442,3
"bldg150","myse","90","bldg","150",236.688349816899,4.5155,3
"bldg270","myse","90","bldg","270",236.914698744474,4.7419,3
"bldg240","myse","90","bldg","240",237.132080676149,4.9593,3
"bldg180","myse","90","bldg","180",237.143211117327,4.9704,3
"bldg210","myse","90","bldg","210",237.235601434461,5.0628,3
