"","spp","samples","var","scale","AICc","delta","df"
"pwet360","myse","50","pwet","360",212.38439903816,0,3
"pwet330","myse","50","pwet","330",212.389714552388,0.0053,3
"pwet300","myse","50","pwet","300",212.420758754774,0.0364,3
"pwet270","myse","50","pwet","270",212.536381837504,0.152,3
"pwet240","myse","50","pwet","240",212.684795737313,0.3004,3
"pwet120","myse","50","pwet","120",212.698920962804,0.3145,3
"pwet150","myse","50","pwet","150",212.699900461451,0.3155,3
"pwet090","myse","50","pwet","090",212.7118076214,0.3274,3
"pwet060","myse","50","pwet","060",212.718216937097,0.3338,3
"pwet180","myse","50","pwet","180",212.724059735635,0.3397,3
"pwet210","myse","50","pwet","210",212.743347912173,0.3589,3
