"","spp","samples","var","scale","AICc","delta","df"
"pgra090","myse","60","pgra","090",215.054278823283,0,3
"pgra060","myse","60","pgra","060",215.239514146709,0.1852,3
"pgra120","myse","60","pgra","120",215.914752718112,0.8605,3
"pgra150","myse","60","pgra","150",216.206516367715,1.1522,3
"pgra180","myse","60","pgra","180",216.685534833993,1.6313,3
"pgra210","myse","60","pgra","210",217.588476407528,2.5342,3
"pgra240","myse","60","pgra","240",218.002672921053,2.9484,3
"pgra270","myse","60","pgra","270",218.46254755428,3.4083,3
"pgra300","myse","60","pgra","300",219.162880352228,4.1086,3
"pgra330","myse","60","pgra","330",219.90359525319,4.8493,3
"pgra360","myse","60","pgra","360",220.261876962642,5.2076,3
