"","spp","samples","var","scale","AICc","delta","df"
"road180","epfu","40","road","180",248.498827796963,0,3
"road360","epfu","40","road","360",249.623200691365,1.1244,3
"road330","epfu","40","road","330",249.864261514995,1.3654,3
"road210","epfu","40","road","210",249.94464560176,1.4458,3
"road120","epfu","40","road","120",250.01772757658,1.5189,3
"road150","epfu","40","road","150",250.036094322165,1.5373,3
"road060","epfu","40","road","060",250.305403160175,1.8066,3
"road300","epfu","40","road","300",250.372472022254,1.8736,3
"road090","epfu","40","road","090",250.448848686141,1.95,3
"road240","epfu","40","road","240",250.457777284743,1.9589,3
"road270","epfu","40","road","270",250.484154807281,1.9853,3
