"","spp","samples","var","scale","AICc","delta","df"
"pwet060","epfu","90","pwet","060",291.05816862373,0,3
"pwet090","epfu","90","pwet","090",291.230533852479,0.1724,3
"pwet120","epfu","90","pwet","120",291.575141788043,0.517,3
"pwet150","epfu","90","pwet","150",292.162839968469,1.1047,3
"pwet300","epfu","90","pwet","300",292.208045210074,1.1499,3
"pwet270","epfu","90","pwet","270",292.214604472008,1.1564,3
"pwet330","epfu","90","pwet","330",292.230983649056,1.1728,3
"pwet240","epfu","90","pwet","240",292.235917706565,1.1777,3
"pwet360","epfu","90","pwet","360",292.250170111272,1.192,3
"pwet210","epfu","90","pwet","210",292.267124546448,1.209,3
"pwet180","epfu","90","pwet","180",292.28728534602,1.2291,3
