"","spp","samples","var","scale","AICc","delta","df"
"pfor150","myse","20","pfor","150",174.793428498057,0,3
"pfor120","myse","20","pfor","120",174.805852170122,0.0124,3
"pfor060","myse","20","pfor","060",174.822036689018,0.0286,3
"pfor270","myse","20","pfor","270",174.826280379646,0.0329,3
"pfor240","myse","20","pfor","240",174.856935127261,0.0635,3
"pfor300","myse","20","pfor","300",174.871988773034,0.0786,3
"pfor180","myse","20","pfor","180",174.882679932365,0.0893,3
"pfor090","myse","20","pfor","090",174.886951097012,0.0935,3
"pfor360","myse","20","pfor","360",174.892754124413,0.0993,3
"pfor210","myse","20","pfor","210",174.905095960474,0.1117,3
"pfor330","myse","20","pfor","330",174.906501702008,0.1131,3
