"","spp","samples","var","scale","AICc","delta","df"
"pwet060","epfu","50","pwet","060",260.923724646026,0,3
"pwet090","epfu","50","pwet","090",261.001244977398,0.0775,3
"pwet120","epfu","50","pwet","120",261.331648024628,0.4079,3
"pwet300","epfu","50","pwet","300",261.792507584628,0.8688,3
"pwet270","epfu","50","pwet","270",261.800520383899,0.8768,3
"pwet330","epfu","50","pwet","330",261.827856165962,0.9041,3
"pwet240","epfu","50","pwet","240",261.834957646105,0.9112,3
"pwet360","epfu","50","pwet","360",261.858300651212,0.9346,3
"pwet150","epfu","50","pwet","150",261.88446829799,0.9607,3
"pwet210","epfu","50","pwet","210",261.891853747184,0.9681,3
"pwet180","epfu","50","pwet","180",261.954352677197,1.0306,3
