"","spp","samples","var","scale","AICc","delta","df"
"road090","myse","50","road","090",210.854460889523,0,3
"road270","myse","50","road","270",211.789467176933,0.935,3
"road150","myse","50","road","150",212.097500182086,1.243,3
"road210","myse","50","road","210",212.330923604814,1.4765,3
"road300","myse","50","road","300",212.348483709808,1.494,3
"road360","myse","50","road","360",212.515804162276,1.6613,3
"road240","myse","50","road","240",212.520619639137,1.6662,3
"road180","myse","50","road","180",212.611888102532,1.7574,3
"road120","myse","50","road","120",212.674943036602,1.8205,3
"road330","myse","50","road","330",212.693682008043,1.8392,3
"road060","myse","50","road","060",212.700708813029,1.8462,3
