"","spp","samples","var","scale","AICc","delta","df"
"pdev150","myse","80","pdev","150",232.138728196087,0,3
"pdev120","myse","80","pdev","120",232.171655028125,0.0329,3
"pdev180","myse","80","pdev","180",232.224568036671,0.0858,3
"pdev090","myse","80","pdev","090",232.250656982633,0.1119,3
"pdev270","myse","80","pdev","270",232.293680329476,0.155,3
"pdev300","myse","80","pdev","300",232.29383570792,0.1551,3
"pdev330","myse","80","pdev","330",232.300184410706,0.1615,3
"pdev210","myse","80","pdev","210",232.308482851848,0.1698,3
"pdev360","myse","80","pdev","360",232.309801183813,0.1711,3
"pdev060","myse","80","pdev","060",232.31003310402,0.1713,3
"pdev240","myse","80","pdev","240",232.315675377449,0.1769,3
