"","spp","samples","var","scale","AICc","delta","df"
"pwet060","epfu","1","pwet","060",77.5646543715051,0,3
"pwet090","epfu","1","pwet","090",78.0275572429012,0.4629,3
"pwet120","epfu","1","pwet","120",78.1532825034115,0.5886,3
"pwet150","epfu","1","pwet","150",78.5043270615918,0.9397,3
"pwet270","epfu","1","pwet","270",78.562962872601,0.9983,3
"pwet240","epfu","1","pwet","240",78.5650167360562,1.0004,3
"pwet300","epfu","1","pwet","300",78.5739037111267,1.0092,3
"pwet210","epfu","1","pwet","210",78.5758591991628,1.0112,3
"pwet360","epfu","1","pwet","360",78.5837131443523,1.0191,3
"pwet330","epfu","1","pwet","330",78.586990378157,1.0223,3
"pwet180","epfu","1","pwet","180",78.5871834244551,1.0225,3
